id_employee, salary ,salary_currency, salary_in_usd 
293," 118,300.00 ",USD," 118,300.00 "
294," 170,000.00 ",USD," 170,000.00 "
295," 130,000.00 ",USD," 130,000.00 "
296," 140,000.00 ",USD," 140,000.00 "
297," 97,200.00 ",USD," 97,200.00 "
298," 179,000.00 ",USD," 179,000.00 "
299," 112,000.00 ",USD," 112,000.00 "
300," 140,000.00 ",USD," 140,000.00 "
301," 120,000.00 ",USD," 120,000.00 "
302," 308,000.00 ",USD," 308,000.00 "
303," 193,000.00 ",USD," 193,000.00 "
304," 240,000.00 ",USD," 240,000.00 "
305," 180,000.00 ",USD," 180,000.00 "
306," 126,480.00 ",USD," 126,480.00 "
307," 82,620.00 ",USD," 82,620.00 "
308," 324,000.00 ",USD," 324,000.00 "
309," 159,000.00 ",USD," 159,000.00 "
310," 140,025.00 ",USD," 140,025.00 "
311," 102,300.00 ",USD," 102,300.00 "
312," 180,000.00 ",USD," 180,000.00 "
313," 150,000.00 ",USD," 150,000.00 "
314," 224,000.00 ",USD," 224,000.00 "
315," 146,000.00 ",USD," 146,000.00 "
316," 120,000.00 ",GBP," 150,000.00 "
317," 90,000.00 ",GBP," 112,500.00 "
318," 81,500.00 ",USD," 81,500.00 "
319," 75,000.00 ",USD," 75,000.00 "
320," 106,875.00 ",USD," 106,875.00 "
321," 71,250.00 ",USD," 71,250.00 "
322," 245,000.00 ",USD," 245,000.00 "
323," 135,000.00 ",USD," 135,000.00 "
324," 144,138.00 ",USD," 144,138.00 "
325," 104,828.00 ",USD," 104,828.00 "
326," 161,000.00 ",USD," 161,000.00 "
327," 133,200.00 ",USD," 133,200.00 "
328," 161,875.00 ",USD," 161,875.00 "
329," 97,125.00 ",USD," 97,125.00 "
330," 196,350.00 ",USD," 196,350.00 "
331," 127,500.00 ",USD," 127,500.00 "
332," 135,450.00 ",USD," 135,450.00 "
333," 72,870.00 ",USD," 72,870.00 "
334," 237,200.00 ",USD," 237,200.00 "
335," 172,500.00 ",USD," 172,500.00 "
336," 184,800.00 ",USD," 184,800.00 "
337," 161,900.00 ",USD," 161,900.00 "
338," 146,800.00 ",USD," 146,800.00 "
339," 117,400.00 ",USD," 117,400.00 "
340," 90,000.00 ",USD," 90,000.00 "
341," 60,000.00 ",USD," 60,000.00 "
342," 227,200.00 ",USD," 227,200.00 "
343," 199,100.00 ",USD," 199,100.00 "
344," 310,000.00 ",USD," 310,000.00 "
345," 245,000.00 ",USD," 245,000.00 "
346," 140,000.00 ",USD," 140,000.00 "
347," 125,000.00 ",USD," 125,000.00 "
348," 223,000.00 ",USD," 223,000.00 "
349," 171,600.00 ",USD," 171,600.00 "
350," 192,500.00 ",USD," 192,500.00 "
351," 122,500.00 ",USD," 122,500.00 "
352," 162,900.00 ",USD," 162,900.00 "
353," 117,725.00 ",USD," 117,725.00 "
354," 140,000.00 ",USD," 140,000.00 "
355," 100,000.00 ",USD," 100,000.00 "
356," 170,000.00 ",USD," 170,000.00 "
357," 105,000.00 ",USD," 105,000.00 "
358," 180,000.00 ",USD," 180,000.00 "
359," 139,000.00 ",USD," 139,000.00 "
360," 234,200.00 ",USD," 234,200.00 "
361," 124,000.00 ",USD," 124,000.00 "
362," 153,700.00 ",USD," 153,700.00 "
363," 87,300.00 ",USD," 87,300.00 "
364," 282,000.00 ",USD," 282,000.00 "
365," 208,000.00 ",USD," 208,000.00 "
366," 70,000.00 ",EUR," 77,777.00 "
367," 60,000.00 ",EUR," 66,666.00 "
368," 162,000.00 ",USD," 162,000.00 "
369," 129,000.00 ",USD," 129,000.00 "
370," 138,000.00 ",USD," 138,000.00 "
371," 86,000.00 ",USD," 86,000.00 "
372," 90,000.00 ",EUR," 100,000.00 "
373," 85,000.00 ",EUR," 94,444.00 "
374," 110,000.00 ",USD," 110,000.00 "
375," 90,000.00 ",USD," 90,000.00 "
376," 255,800.00 ",USD," 255,800.00 "
377," 176,000.00 ",USD," 176,000.00 "
378," 120,000.00 ",USD," 120,000.00 "
379," 105,000.00 ",USD," 105,000.00 "
380," 104,755.00 ",GBP," 130,943.00 "
381," 83,376.00 ",GBP," 104,220.00 "
382," 40,000.00 ",GBP," 50,000.00 "
383," 35,000.00 ",GBP," 43,750.00 "
384," 210,000.00 ",USD," 210,000.00 "
385," 140,000.00 ",USD," 140,000.00 "
386," 37,000.00 ",GBP," 46,250.00 "
387," 24,000.00 ",GBP," 30,000.00 "
388," 165,000.00 ",USD," 165,000.00 "
389," 150,000.00 ",USD," 150,000.00 "
390," 160,000.00 ",USD," 160,000.00 "
391," 130,000.00 ",USD," 130,000.00 "
392," 156,000.00 ",USD," 156,000.00 "
393," 124,000.00 ",USD," 124,000.00 "
394," 189,000.00 ",USD," 189,000.00 "
395," 140,000.00 ",USD," 140,000.00 "
396," 158,494.00 ",USD," 158,494.00 "
397," 88,052.00 ",USD," 88,052.00 "
398," 175,000.00 ",USD," 175,000.00 "
399," 140,000.00 ",USD," 140,000.00 "
400," 111,000.00 ",USD," 111,000.00 "
401," 79,200.00 ",USD," 79,200.00 "
402," 220,000.00 ",USD," 220,000.00 "
403," 170,000.00 ",USD," 170,000.00 "
404," 195,500.00 ",USD," 195,500.00 "
405," 141,300.00 ",USD," 141,300.00 "
406," 139,810.00 ",USD," 139,810.00 "
407," 95,325.00 ",USD," 95,325.00 "
408," 258,700.00 ",USD," 258,700.00 "
409," 146,600.00 ",USD," 146,600.00 "
410," 190,000.00 ",USD," 190,000.00 "
411," 160,000.00 ",USD," 160,000.00 "
412," 90,000.00 ",USD," 90,000.00 "
413," 65,000.00 ",USD," 65,000.00 "
414," 160,000.00 ",USD," 160,000.00 "
415," 130,000.00 ",USD," 130,000.00 "
416," 85,000.00 ",USD," 85,000.00 "
417," 65,000.00 ",USD," 65,000.00 "
418," 143,800.00 ",USD," 143,800.00 "
419," 95,800.00 ",USD," 95,800.00 "
420," 166,000.00 ",USD," 166,000.00 "
421," 73,100.00 ",USD," 73,100.00 "
422," 114,000.00 ",USD," 114,000.00 "
423," 72,000.00 ",USD," 72,000.00 "
424," 102,500.00 ",USD," 102,500.00 "
425," 65,000.00 ",USD," 65,000.00 "
426," 258,700.00 ",USD," 258,700.00 "
427," 160,000.00 ",USD," 160,000.00 "
428," 203,649.00 ",USD," 203,649.00 "
429," 183,284.00 ",USD," 183,284.00 "
430," 56,000.00 ",EUR," 60,462.00 "
431," 27,000.00 ",GBP," 33,220.00 "
432," 27,000.00 ",GBP," 33,220.00 "
433," 81,800.00 ",USD," 81,800.00 "
434," 70,800.00 ",USD," 70,800.00 "
435," 130,000.00 ",USD," 130,000.00 "
436," 80,850.00 ",USD," 80,850.00 "
437," 215,000.00 ",USD," 215,000.00 "
438," 146,900.00 ",USD," 146,900.00 "
