id_employee,job_title, salary ,id_currency, salary_in_usd ,id_work_year,id_experience_level,id_remote_ratio,id_company
3574,Data Lead,"115,000.00",1,"115,000.00",4,2,3,1
3575,Data Analyst,"110,000.00",1,"110,000.00",4,1,1,1
3576,Data Analyst,"70,000.00",1,"70,000.00",4,1,1,1
3577,Data Analyst,"39,000.00",2,"42,107.00",4,2,2,12
3578,Machine Learning Engineer,"300,000.00",1,"300,000.00",4,2,1,1
3579,Machine Learning Engineer,"200,000.00",1,"200,000.00",4,2,1,1
3580,Data Architect,"155,000.00",1,"155,000.00",4,1,3,1
3581,Data Architect,"135,000.00",1,"135,000.00",4,1,3,1
3582,Data Manager,"115,500.00",1,"115,500.00",4,2,1,1
3583,Data Manager,"73,500.00",1,"73,500.00",4,2,1,1
3584,Data Scientist,"179,000.00",1,"179,000.00",4,1,1,1
3585,Data Scientist,"109,000.00",1,"109,000.00",4,1,1,1
3586,Data Scientist,"180,000.00",1,"180,000.00",4,1,1,1
3587,Data Scientist,"140,000.00",1,"140,000.00",4,1,1,1
3588,Machine Learning Infrastructure Engineer,"221,000.00",1,"221,000.00",4,1,1,1
3589,Machine Learning Infrastructure Engineer,"180,000.00",1,"180,000.00",4,1,1,1
3590,Applied Scientist,"222,200.00",1,"222,200.00",4,1,1,3
3591,Applied Scientist,"136,000.00",1,"136,000.00",4,1,1,3
3592,Machine Learning Engineer,"275,000.00",1,"275,000.00",4,1,1,1
3593,Machine Learning Engineer,"170,000.00",1,"170,000.00",4,1,1,1
3594,Data Scientist,"233,300.00",1,"233,300.00",4,1,1,1
3595,Data Scientist,"155,500.00",1,"155,500.00",4,1,1,1
3596,Applied Scientist,"222,200.00",1,"222,200.00",4,2,1,3
3597,Applied Scientist,"136,000.00",1,"136,000.00",4,2,1,3
3598,Data Architect,"193,000.00",1,"193,000.00",4,1,3,1
3599,Data Architect,"110,000.00",1,"110,000.00",4,1,3,1
3600,Research Engineer,"306,000.00",1,"306,000.00",4,1,1,1
3601,Research Engineer,"180,000.00",1,"180,000.00",4,1,1,1
3602,Applied Scientist,"212,800.00",1,"212,800.00",4,1,1,3
3603,Applied Scientist,"115,100.00",1,"115,100.00",4,1,1,3
3604,Machine Learning Engineer,"238,000.00",1,"238,000.00",4,1,1,1
3605,Machine Learning Engineer,"176,000.00",1,"176,000.00",4,1,1,1
3606,Data Analyst,"117,500.00",1,"117,500.00",4,1,3,1
3607,Data Analyst,"86,720.00",1,"86,720.00",4,1,3,1
3608,Data Analyst,"167,000.00",1,"167,000.00",4,2,1,1
3609,Data Analyst,"150,000.00",1,"150,000.00",4,2,1,1
3610,Data Analyst,"90,000.00",1,"90,000.00",4,4,3,1
3611,Data Analyst,"70,000.00",1,"70,000.00",4,4,3,1
3612,Data Scientist,"212,800.00",1,"212,800.00",4,1,3,3
3613,Data Scientist,"111,600.00",1,"111,600.00",4,1,3,3
3614,Data Architect,"306,000.00",1,"306,000.00",4,1,3,1
3615,Data Architect,"204,000.00",1,"204,000.00",4,1,3,1
3616,BI Developer,"135,000.00",1,"135,000.00",4,1,3,1
3617,BI Developer,"110,000.00",1,"110,000.00",4,1,3,1
3618,Data Scientist,"165,000.00",1,"165,000.00",4,1,1,1
3619,Data Scientist,"116,300.00",1,"116,300.00",4,1,1,1
3620,Machine Learning Engineer,"200,000.00",1,"200,000.00",4,1,3,1
3621,Machine Learning Engineer,"175,000.00",1,"175,000.00",4,1,3,1
3622,Business Intelligence Engineer,"185,000.00",1,"185,000.00",4,1,1,3
3623,Business Intelligence Engineer,"79,600.00",1,"79,600.00",4,1,1,3
3624,Machine Learning Scientist,"180,514.00",1,"180,514.00",4,1,3,1
3625,Machine Learning Scientist,"108,308.00",1,"108,308.00",4,1,3,1
3626,Machine Learning Engineer,"200,000.00",1,"200,000.00",4,1,3,1
3627,Machine Learning Engineer,"150,000.00",1,"150,000.00",4,1,3,1
3628,Machine Learning Engineer,"208,450.00",1,"208,450.00",4,1,1,1
3629,Machine Learning Engineer,"151,600.00",1,"151,600.00",4,1,1,1
3630,Data Scientist,"324,000.00",1,"324,000.00",4,1,1,1
3631,Data Scientist,"159,000.00",1,"159,000.00",4,1,1,1
3632,Data Scientist,"155,000.00",1,"155,000.00",4,2,3,1
3633,Data Scientist,"135,000.00",1,"135,000.00",4,2,3,1
3634,Data Engineer,"223,250.00",1,"223,250.00",4,1,1,1
3635,Data Engineer,"156,275.00",1,"156,275.00",4,1,1,1
3636,Data Engineer,"220,000.00",1,"220,000.00",4,1,1,1
3637,Data Engineer,"160,000.00",1,"160,000.00",4,1,1,1
3638,Data Scientist,"168,000.00",1,"168,000.00",4,1,3,1
3639,Data Scientist,"130,000.00",1,"130,000.00",4,1,3,1
3640,Analytics Engineer,"245,000.00",1,"245,000.00",4,1,3,1
3641,Analytics Engineer,"185,000.00",1,"185,000.00",4,1,3,1
3642,Data Scientist,"164,000.00",1,"164,000.00",4,1,3,1
3643,Data Scientist,"130,000.00",1,"130,000.00",4,1,3,1
3644,Data Analyst,"67,500.00",1,"67,500.00",4,2,1,1
3645,Data Analyst,"46,500.00",1,"46,500.00",4,2,1,1
3646,ML Engineer,"270,000.00",1,"270,000.00",4,1,3,1
3647,ML Engineer,"232,200.00",1,"232,200.00",4,1,3,1
3648,Data Engineer,"40,000.00",2,"43,187.00",4,2,3,46
3649,Data Analyst,"105,000.00",1,"105,000.00",4,2,1,1
3650,Data Analyst,"78,000.00",1,"78,000.00",4,2,1,1
3651,Data Manager,"115,500.00",1,"115,500.00",4,2,1,1
3652,Data Manager,"73,500.00",1,"73,500.00",4,2,1,1
3653,Machine Learning Engineer,"370,000.00",1,"370,000.00",4,1,1,1
3654,Machine Learning Engineer,"220,000.00",1,"220,000.00",4,1,1,1
3655,Data Engineer,"155,000.00",1,"155,000.00",4,1,1,1
3656,Data Engineer,"130,000.00",1,"130,000.00",4,1,1,1
3657,Machine Learning Engineer,"178,200.00",1,"178,200.00",4,1,3,1
3658,Machine Learning Engineer,"115,000.00",1,"115,000.00",4,1,3,1
3659,Data Analyst,"250,000.00",1,"250,000.00",4,2,1,1
3660,Data Analyst,"125,000.00",1,"125,000.00",4,2,1,1
3661,Data Scientist,"204,000.00",1,"204,000.00",4,2,1,1
3662,Data Scientist,"150,000.00",1,"150,000.00",4,2,1,1
3663,Data Analyst,"110,000.00",1,"110,000.00",4,1,3,1
3664,Data Analyst,"95,000.00",1,"95,000.00",4,1,3,1
3665,Data Engineer,"143,000.00",1,"143,000.00",4,2,1,1
3666,Data Engineer,"95,000.00",1,"95,000.00",4,2,1,1
3667,Data Engineer,"250,000.00",1,"250,000.00",4,2,1,1
3668,Data Engineer,"125,000.00",1,"125,000.00",4,2,1,1
3669,Machine Learning Engineer,"280,000.00",1,"280,000.00",4,1,1,1
3670,Machine Learning Engineer,"240,000.00",1,"240,000.00",4,1,1,1
3671,Data Manager,"110,400.00",1,"110,400.00",4,1,1,1
3672,Data Manager,"68,000.00",1,"68,000.00",4,1,1,1
3673,Applied Scientist,"216,000.00",1,"216,000.00",4,1,3,1
3674,Applied Scientist,"184,000.00",1,"184,000.00",4,1,3,1
3675,Machine Learning Engineer,"192,000.00",1,"192,000.00",4,1,3,1
3676,Machine Learning Engineer,"164,000.00",1,"164,000.00",4,1,3,1
3677,Data Scientist,"220,000.00",1,"220,000.00",4,1,1,1
3678,Data Scientist,"160,000.00",1,"160,000.00",4,1,1,1
3679,Data Scientist,"225,000.00",1,"225,000.00",4,1,1,1
3680,Data Scientist,"156,400.00",1,"156,400.00",4,1,1,1
3681,Data Scientist,"297,300.00",1,"297,300.00",4,1,3,1
3682,Data Scientist,"198,200.00",1,"198,200.00",4,1,3,1
3683,Applied Scientist,"192,000.00",1,"192,000.00",4,1,3,1
3684,Applied Scientist,"164,000.00",1,"164,000.00",4,1,3,1
3685,Data Analyst,"168,000.00",1,"168,000.00",4,1,1,2
3686,Data Analyst,"112,000.00",1,"112,000.00",4,1,1,2
3687,Machine Learning Engineer,"204,500.00",1,"204,500.00",4,1,1,1
3688,Machine Learning Engineer,"142,200.00",1,"142,200.00",4,1,1,1
3689,Data Scientist,"253,430.00",1,"253,430.00",4,1,1,1
3690,Data Scientist,"212,780.00",1,"212,780.00",4,1,1,1
3691,Research Engineer,"190,000.00",1,"190,000.00",4,1,1,1
3692,Research Engineer,"152,000.00",1,"152,000.00",4,1,1,1
3693,Machine Learning Engineer,"265,800.00",1,"265,800.00",4,1,3,1
3694,Machine Learning Engineer,"165,500.00",1,"165,500.00",4,1,3,1
3695,Data Engineer,"193,000.00",1,"193,000.00",4,1,3,1
3696,Data Engineer,"134,000.00",1,"134,000.00",4,1,3,1
3697,AI Engineer,"180,000.00",1,"180,000.00",4,1,3,1
3698,AI Engineer,"150,000.00",1,"150,000.00",4,1,3,1
3699,Data Developer,"120,681.00",1,"120,681.00",4,2,3,1
3700,Data Developer,"72,409.00",1,"72,409.00",4,2,3,1
3701,Machine Learning Engineer,"180,000.00",1,"180,000.00",4,1,3,1
3702,Machine Learning Engineer,"139,750.00",1,"139,750.00",4,1,3,1
3703,Applied Scientist,"222,200.00",1,"222,200.00",4,2,1,3
3704,Applied Scientist,"136,000.00",1,"136,000.00",4,2,1,3
3705,Data Engineer,"254,000.00",1,"254,000.00",4,1,3,1
3706,Data Engineer,"200,000.00",1,"200,000.00",4,1,3,1
3707,AI Developer,"260,000.00",1,"260,000.00",4,1,1,1
3708,AI Developer,"192,000.00",1,"192,000.00",4,1,1,1
3709,Data Scientist,"272,290.00",1,"272,290.00",4,1,3,1
3710,Data Scientist,"169,374.00",1,"169,374.00",4,1,3,1
3711,Principal Data Scientist,"195,000.00",1,"195,000.00",4,1,3,3
3712,Data Science Lead,"204,500.00",1,"204,500.00",4,1,1,1
3713,Data Science Lead,"142,200.00",1,"142,200.00",4,1,1,1
3714,Business Data Analyst,"17,000.00",1,"17,000.00",4,2,3,47
3715,Data Engineer,"181,500.00",1,"181,500.00",4,1,1,1
3716,Data Engineer,"112,200.00",1,"112,200.00",4,1,1,1
3717,Machine Learning Engineer,"204,500.00",1,"204,500.00",4,1,1,1
3718,Machine Learning Engineer,"142,200.00",1,"142,200.00",4,1,1,1
3719,Data Scientist,"180,000.00",1,"180,000.00",4,1,1,1
3720,Data Scientist,"162,000.00",1,"162,000.00",4,1,1,1
3721,Machine Learning Researcher,"150,000.00",1,"150,000.00",4,2,3,1
3722,Machine Learning Researcher,"100,000.00",1,"100,000.00",4,2,3,1
3723,Machine Learning Engineer,"250,500.00",1,"250,500.00",4,1,1,1
3724,Machine Learning Engineer,"166,600.00",1,"166,600.00",4,1,1,1
3725,Head of Data,"247,500.00",1,"247,500.00",4,4,1,1
3726,Head of Data,"172,200.00",1,"172,200.00",4,4,1,1
3727,Machine Learning Engineer,"247,500.00",1,"247,500.00",4,1,1,1
3728,Machine Learning Engineer,"172,200.00",1,"172,200.00",4,1,1,1
3729,Data Scientist,"223,290.00",1,"223,290.00",4,1,1,1
3730,Data Scientist,"131,310.00",1,"131,310.00",4,1,1,1
3731,Staff Data Analyst,"60,000.00",4,"44,753.00",1,3,2,27
3732,AI Engineer,"35,000.00",1,"35,000.00",4,3,3,12
3733,AI Developer,"50,000.00",2,"53,984.00",4,1,3,48
3734,Machine Learning Engineer,"226,600.00",1,"226,600.00",4,1,1,1
3735,Machine Learning Engineer,"140,100.00",1,"140,100.00",4,1,1,1
3736,Machine Learning Scientist,"204,500.00",1,"204,500.00",4,1,1,2
3737,Machine Learning Scientist,"142,200.00",1,"142,200.00",4,1,1,2
3738,Research Scientist,"220,000.00",1,"220,000.00",4,1,1,1
3739,Research Scientist,"140,000.00",1,"140,000.00",4,1,1,1
3740,Machine Learning Engineer,"204,600.00",1,"204,600.00",4,1,1,1
3741,Machine Learning Engineer,"126,500.00",1,"126,500.00",4,1,1,1
3742,Research Analyst,"135,960.00",1,"135,960.00",4,1,1,1
3743,Research Analyst,"70,960.00",1,"70,960.00",4,1,1,1
3744,Data Engineer,"128,750.00",1,"128,750.00",4,1,1,1
3745,Data Engineer,"86,250.00",1,"86,250.00",4,1,1,1
3746,Data Engineer,"90,000.00",3,"110,736.00",4,1,1,7
3747,Data Engineer,"75,000.00",3,"92,280.00",4,1,1,7
3748,Data Engineer,"131,000.00",1,"131,000.00",4,2,1,37
3749,Data Engineer,"88,000.00",1,"88,000.00",4,2,1,37
3750,Data Analyst,"185,100.00",1,"185,100.00",4,1,3,1
3751,Data Analyst,"133,300.00",1,"133,300.00",4,1,3,1
3752,Research Engineer,"180,000.00",1,"180,000.00",4,1,1,1
3753,Research Engineer,"150,000.00",1,"150,000.00",4,1,1,1
3754,Data Engineer,"90,000.00",1,"90,000.00",4,1,1,1
3755,Data Engineer,"75,000.00",1,"75,000.00",4,1,1,1
3756,AI Developer,"130,000.00",1,"130,000.00",4,3,3,3
3757,Data Analyst,"1,700,000.00",6,"20,673.00",4,3,2,16
3758,Data Analyst,"60,000.00",3,"73,824.00",4,1,1,7
3759,Data Analyst,"50,000.00",3,"61,520.00",4,1,1,7
3760,Data Manager,"115,500.00",1,"115,500.00",4,2,1,1
3761,Data Manager,"73,500.00",1,"73,500.00",4,2,1,1
3762,ML Engineer,"125,000.00",1,"125,000.00",4,2,1,1
3763,ML Engineer,"85,000.00",1,"85,000.00",4,2,1,1
3764,Data Manager,"80,000.00",1,"80,000.00",4,2,1,1
3765,Data Manager,"70,000.00",1,"70,000.00",4,2,1,1
3766,Data Scientist,"260,000.00",1,"260,000.00",4,1,1,1
3767,Data Scientist,"160,000.00",1,"160,000.00",4,1,1,1
3768,Data Manager,"105,000.00",1,"105,000.00",4,1,1,1
3769,Data Manager,"80,000.00",1,"80,000.00",4,1,1,1
3770,Machine Learning Engineer,"150,000.00",1,"150,000.00",4,1,3,2
3771,Machine Learning Engineer,"95,000.00",1,"95,000.00",4,1,3,2
3772,Data Engineer,"204,750.00",1,"204,750.00",4,1,1,1
3773,Data Engineer,"153,550.00",1,"153,550.00",4,1,1,1
3774,Data Analyst,"150,000.00",1,"150,000.00",4,1,3,1
3775,Data Analyst,"120,000.00",1,"120,000.00",4,1,3,1
3776,Data Engineer,"150,000.00",1,"150,000.00",4,2,1,1
3777,Data Engineer,"110,000.00",1,"110,000.00",4,2,1,1
3778,Data Engineer,"200,000.00",1,"200,000.00",4,1,1,1
3779,Data Engineer,"141,000.00",1,"141,000.00",4,1,1,1
3780,Data Engineer,"230,000.00",1,"230,000.00",4,1,1,1
3781,Data Engineer,"175,000.00",1,"175,000.00",4,1,1,1
3782,Research Scientist,"150,000.00",1,"150,000.00",4,1,3,1
3783,Research Scientist,"120,000.00",1,"120,000.00",4,1,3,1
3784,Machine Learning Engineer,"207,611.00",1,"207,611.00",4,1,1,1
3785,Machine Learning Engineer,"127,876.00",1,"127,876.00",4,1,1,1
3786,Data Analyst,"175,000.00",1,"175,000.00",4,1,3,1
